J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.04423012348042425
0.02;0.04743846146881493
0.05;0.049519607405077645
0.1;0.05067171359394537
0.2;0.05138254199898882
0.4;0.053110850891096795
0.6;0.05449589109165466
0.8;0.055547515088003874
1.0;0.05707541302566001
1.2;0.05874367630419068
1.6;0.062051203225003855
