logJ;V_CORR;
-3.0;0.4511859999996004;
-2.6989700043360187;0.4955021999992002;
-2.3010299956639813;0.5622694999980002;
-2.0;0.6154183950607828;
-1.6989700043360187;0.6772435230824949;
-1.3010299956639813;0.7672189785189847;
-1.0;0.843319614562422;
-0.6989700043360187;0.929518166400809;
-0.3979400086720376;1.0302648385742454;
-0.2218487496163564;1.098194561380029;
-0.09691001300805639;1.1547966517183874;
0.0;1.20022694789736;
0.07918124604762482;1.2323235537398851;
0.2041199826559248;1.2679838993599755;
