J;V
0.001;1.6811859999996004
0.002;1.7255021999992002
0.005;1.7922694999980002
0.01;1.8454183950607828
0.02;1.907243523082495
0.05;1.9972189785189847
0.1;2.073319614562422
0.2;2.159518166400809
0.4;2.2602648385742454
0.6;2.328194561380029
0.8;2.3847966517183874
1.0;2.43022694789736
1.2;2.462323553739885
1.6;2.4979838993599754
