logJ;V_CORR;
-3.0;0.45971759999959994;
-2.6989700043360187;0.5107100999992;
-2.3010299956639813;0.584783899998;
-2.0;0.6378762327948784;
-1.6989700043360187;0.6941742840283638;
-1.3010299956639813;0.7693406236985265;
-1.0;0.8281466007911118;
-0.6989700043360187;0.89492043631199;
-0.3979400086720376;0.9720446821672262;
-0.2218487496163564;1.015683968403715;
-0.09691001300805639;1.0481025361376202;
0.0;1.0703311293066657;
0.07918124604762482;1.081476190424628;
0.2041199826559248;1.0955560655969325;
