J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.04372302673959601
0.02;0.04614975132659588
0.05;0.04984853843817809
0.1;0.05250283822518764
0.2;0.05430693999533373
0.4;0.056325112856577625
0.6;0.058148248384447744
0.8;0.059972733213070506
1.0;0.06164773910638592
1.2;0.06356593312175093
1.6;0.06768402664634325
