logJ;V_CORR;
-3.0;0.4579802999996001;
-2.6989700043360187;0.5085229999992003;
-2.3010299956639813;0.576353499998;
-2.0;0.6276779799112235;
-1.6989700043360187;0.6842570168274882;
-1.3010299956639813;0.7687298115875731;
-1.0;0.8401083086784213;
-0.6989700043360187;0.9147720961180541;
-0.3979400086720376;0.9917809376278561;
-0.2218487496163564;1.0345206346713578;
-0.09691001300805639;1.069332427910087;
0.0;1.0990837521783856;
0.07918124604762482;1.1198945411420467;
0.2041199826559248;1.1433033625520643;
