J;V
0.001;1.5063023999996001
0.002;1.5766792999991999
0.005;1.651900099998
0.01;1.6935698133846522
0.02;1.7410222334915302
0.05;1.8243954187401357
0.1;1.905947533397915
0.2;1.9960006763139198
0.4;2.082291413086817
0.6;2.1319811149872416
0.8;2.167690446144656
1.0;2.1964495741653733
1.2;2.2201293223975407
1.6;2.2611526478796735
