logJ;V_CORR;
-3.0;0.4608705999996001;
-2.6989700043360187;0.5103745999991998;
-2.3010299956639813;0.582311199998;
-2.0;0.6360484628142509;
-1.6989700043360187;0.6921080590102644;
-1.3010299956639813;0.7702216818090433;
-1.0;0.8326475926639865;
-0.6989700043360187;0.9053749440619354;
-0.3979400086720376;0.9919303841539757;
-0.2218487496163564;1.04363396339626;
-0.09691001300805639;1.0830473259283204;
0.0;1.110550617424419;
0.07918124604762482;1.1303133855228493;
0.2041199826559248;1.1599308748665877;
