J;V
0.001;1.5006212999996
0.002;1.5544366999991999
0.005;1.6255607999980002
0.01;1.6671611797071468
0.02;1.7115250497169725
0.05;1.788073247601027
0.1;1.86759339010141
0.2;1.9616544744407636
0.4;2.0557377061850213
0.6;2.108642524109209
0.8;2.1464503175990957
1.0;2.1752662674011827
1.2;2.2018721549428717
1.6;2.243134424809976
