J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.024675507321332835
0.02;0.027548128537843768
0.05;0.030078761994865037
0.1;0.03168402474647493
0.2;0.032585656949045486
0.4;0.03469449613436151
0.6;0.036085698287829635
0.8;0.036949869500282465
1.0;0.03813435814970433
1.2;0.03906994688690176
1.6;0.041464730498441245
