J;V
0.001;1.6237543999996003
0.002;1.6781316999992
0.005;1.7525885999980002
0.01;1.812447864095463
0.02;1.8747642758107657
0.05;1.958654015677613
0.1;2.0235705779829614
0.2;2.094735760428172
0.4;2.1798733422264087
0.6;2.2377826802176504
0.8;2.2829902131702067
1.0;2.316730956137638
1.2;2.3398849747057597
1.6;2.3625483809691263
