J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.044375897613419577
0.02;0.04720530236542719
0.05;0.049489421611934675
0.1;0.05078780504259656
0.2;0.05388167446478507
0.4;0.05742747360849456
0.6;0.06028529990931247
0.8;0.0622387458843105
1.0;0.06454118596559039
1.2;0.06708635943629995
1.6;0.07175848734857401
