J;V
0.001;1.6872186999996
0.002;1.733821866665867
0.005;1.8018296999980001
0.01;1.8531219731751525
0.02;1.9175325092778148
0.05;2.0165327366310857
0.1;2.097806529484297
0.2;2.1841949071336746
0.4;2.2737321927510425
0.6;2.3143714776852122
0.8;2.3698820567301024
1.0;2.399307521649415
1.2;2.4287559501238207
1.6;2.4792887405342263
