logJ;V_CORR;
-3.0;0.45626089999959984;
-2.6989700043360187;0.5068063999992003;
-2.3010299956639813;0.577725299998;
-2.0;0.6331129809047975;
-1.6989700043360187;0.6946939207286378;
-1.3010299956639813;0.7812834118418528;
-1.0;0.8479161438535558;
-0.6989700043360187;0.9206337215562299;
-0.3979400086720376;0.9995616241717267;
-0.2218487496163564;1.0449981891875608;
-0.09691001300805639;1.0782209255693758;
0.0;1.1028724687627114;
0.07918124604762482;1.1176930388367938;
0.2041199826559248;1.1371107254036201;
