J;V
0.001;1.6862608999995998
0.002;1.7368063999992003
0.005;1.807725299998
0.01;1.8631129809047975
0.02;1.9246939207286378
0.05;2.0112834118418528
0.1;2.077916143853556
0.2;2.15063372155623
0.4;2.2295616241717267
0.6;2.274998189187561
0.8;2.3082209255693757
1.0;2.3328724687627114
1.2;2.347693038836794
1.6;2.36711072540362
