J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.04631173826670281
0.02;0.04969676809734192
0.05;0.052115920257876466
0.1;0.05358729915970043
0.2;0.0545248437590989
0.4;0.056607339176402253
0.6;0.058374316048280264
0.8;0.059977109515885016
1.0;0.06147099100006337
1.2;0.06320098192935047
1.6;0.0668957508433001
