logJ;V_CORR;
-3.0;0.38526439999960016;
-2.6989700043360187;0.4264492999992;
-2.3010299956639813;0.48784579999800015;
-2.0;0.539012076819666;
-1.6989700043360187;0.5945835318759298;
-1.3010299956639813;0.6700515416352297;
-1.0;0.72609890153593;
-0.6989700043360187;0.7827027262694979;
-0.3979400086720376;0.8444706477119923;
-0.2218487496163564;0.8839434195568363;
-0.09691001300805639;0.9149154927053131;
0.0;0.9381048124931199;
0.07918124604762482;0.9543827423003539;
0.2041199826559248;0.9763986765614843;
