J;VAC_CORR;
0.001;1.6152643999996001;
0.002;1.6564492999992;
0.005;1.7178457999980001;
0.01;1.769012076819666;
0.02;1.8245835318759298;
0.05;1.9000515416352297;
0.1;1.95609890153593;
0.2;2.012702726269498;
0.4;2.0744706477119923;
0.6;2.1139434195568363;
0.8;2.144915492705313;
1.0;2.16810481249312;
1.2;2.184382742300354;
1.6;2.2063986765614843;
