logJ;V_CORR;
-3.0;0.4538170999996003;
-2.6989700043360187;0.5030306999992002;
-2.3010299956639813;0.5712142999980003;
-2.0;0.6291681257975741;
-1.6989700043360187;0.6976842740318427;
-1.3010299956639813;0.8064176167209447;
-1.0;0.8942403244063719;
-0.6989700043360187;0.9788971415644583;
-0.3979400086720376;1.0656540781022406;
-0.2218487496163564;1.1139773523203642;
-0.09691001300805639;1.1535458939511498;
0.0;1.1912349907379833;
0.07918124604762482;1.2179668705986844;
0.2041199826559248;1.2467523187291105;
