J;V
0.001;1.6838170999996003
0.002;1.7330306999992002
0.005;1.8012142999980003
0.01;1.859168125797574
0.02;1.9276842740318427
0.05;2.0364176167209447
0.1;2.124240324406372
0.2;2.2088971415644583
0.4;2.2956540781022405
0.6;2.343977352320364
0.8;2.38354589395115
1.0;2.4212349907379833
1.2;2.4479668705986843
1.6;2.4767523187291105
