J;R
0.001;1e-10
0.002;1e-10
0.005;1e-10
0.01;0.04368435506065056
0.02;0.048369074601966794
0.05;0.05071241639527592
0.1;0.05234193898406965
0.2;0.05387307304442744
0.4;0.05621351368609985
0.6;0.0583273531998483
0.8;0.0605940643902657
1.0;0.0627827773155042
1.2;0.06516100612527412
1.6;0.06910557519857649
